times, le, le_qc, le_unc, h, h_qc, h_unc, g, g_qc, sm1, sm1_qc, nee, nee_qc, gpp, gpp_se
2.010010100000000000e+07,2.595759999999999845e+00,1.000000000000000000e+00,6.304459999999999509e-01,-4.765810000000000102e+00,1.000000000000000000e+00,2.534429999999999961e+00,-3.270830000000000126e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.522739999999999760e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.144740000000000056e-03
2.010010200000000000e+07,3.131819999999999826e+00,1.000000000000000000e+00,5.909809999999999786e-01,8.044739999999999114e+00,1.000000000000000000e+00,2.492269999999999985e+00,-3.791669999999999874e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,6.175150000000000361e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.590149999999999852e-03
2.010010300000000000e+07,1.509079999999999977e+00,1.000000000000000000e+00,6.778640000000000221e-01,-2.357969999999999899e+00,1.000000000000000000e+00,1.988029999999999964e+00,-2.691669999999999785e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.615549999999999820e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.215850000000000153e-03
2.010010400000000000e+07,2.444129999999999914e+00,1.000000000000000000e+00,8.958559999999999857e-01,4.922659999999999592e+00,1.000000000000000000e+00,2.213060000000000027e+00,-2.937500000000000000e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.221819999999999906e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.016170000000000330e-03
2.010010500000000000e+07,3.020929999999999893e+00,1.000000000000000000e+00,6.923559999999999715e-01,-7.557110000000000216e-01,1.000000000000000000e+00,2.472129999999999939e+00,-3.079169999999999963e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.555770000000000541e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.219360000000000124e-03
2.010010600000000000e+07,8.161400000000000432e+00,9.166670000000000096e-01,1.037940000000000085e+00,-5.338160000000000238e+00,8.333329999999999904e-01,2.453669999999999796e+00,-2.816669999999999785e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,1.204190000000000094e+00,9.583329999999999904e-01,0.000000000000000000e+00,3.402370000000000047e-03
2.010010700000000000e+07,3.468560000000000088e+00,1.000000000000000000e+00,7.172760000000000247e-01,-2.585210000000000008e+01,1.000000000000000000e+00,3.020329999999999959e+00,-3.812500000000000000e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,6.369029999999999969e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.443489999999999593e-03
2.010010800000000000e+07,5.867519999999999847e+00,1.000000000000000000e+00,6.419390000000000374e-01,7.853710000000000413e+00,1.000000000000000000e+00,3.014470000000000205e+00,-3.933330000000000215e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.138369999999999882e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.000380000000000429e-03
2.010010900000000000e+07,1.475570000000000048e+00,9.583329999999999904e-01,6.200489999999999613e-01,-5.743350000000000399e+00,1.000000000000000000e+00,3.084340000000000082e+00,-4.087500000000000355e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.701360000000000205e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.454709999999999746e-03
2.010011000000000000e+07,4.949510000000000076e+00,1.000000000000000000e+00,9.265619999999999967e-01,-1.181910000000000061e+01,9.583329999999999904e-01,2.140410000000000146e+00,-3.100000000000000089e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.464500000000000357e-01,6.666670000000000096e-01,0.000000000000000000e+00,4.501190000000000399e-03
2.010011100000000000e+07,-3.540780000000000038e-01,1.000000000000000000e+00,9.395200000000000218e-01,-4.619510000000000005e+00,1.000000000000000000e+00,2.285350000000000215e+00,-2.741670000000000051e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,9.527809999999999890e-01,5.833329999999999904e-01,0.000000000000000000e+00,4.356299999999999582e-03
2.010011200000000000e+07,3.473190000000000222e+00,9.166670000000000096e-01,8.156290000000000484e-01,-4.553079999999999572e+00,8.750000000000000000e-01,2.308980000000000032e+00,-3.616670000000000051e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.513359999999999816e-01,7.083329999999999904e-01,0.000000000000000000e+00,3.929919999999999941e-03
2.010011300000000000e+07,3.930369999999999919e+00,9.166670000000000096e-01,1.081329999999999902e+00,-1.691649999999999920e+01,9.583329999999999904e-01,2.089129999999999932e+00,-2.637500000000000178e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.573910000000000364e-01,5.416670000000000096e-01,0.000000000000000000e+00,4.469599999999999788e-03
2.010011400000000000e+07,5.412869999999999626e-01,9.583329999999999904e-01,9.304210000000000536e-01,-9.868850000000000122e+00,9.583329999999999904e-01,2.081710000000000171e+00,-2.625000000000000000e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.445190000000000419e-01,4.583329999999999904e-01,0.000000000000000000e+00,4.126290000000000339e-03
