times, le, le_qc, le_unc, h, h_qc, h_unc, g, g_qc, sm1, sm1_qc, nee, nee_qc, gpp, gpp_se
2.010010100000000000e+07,-9.999000000000000000e+03,-9.999000000000000000e+03,5.618839999999999613e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,6.539659999999999584e+00,-7.765419999999999545e-01,1.000000000000000000e+00,2.762399999999999878e+01,1.000000000000000000e+00,-3.533819999999999961e+00,1.000000000000000000e+00,1.886910000000000087e+00,4.831110000000000265e-02
2.010010200000000000e+07,-9.999000000000000000e+03,-9.999000000000000000e+03,4.419850000000000279e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.029810000000000336e+00,-6.814789999999999459e-01,1.000000000000000000e+00,2.772599999999999909e+01,1.000000000000000000e+00,-3.002920000000000034e+00,1.000000000000000000e+00,1.517349999999999977e+00,5.028160000000000268e-02
2.010010300000000000e+07,-9.999000000000000000e+03,-9.999000000000000000e+03,4.468670000000000364e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.918400000000000105e+00,-6.632500000000000062e-01,1.000000000000000000e+00,2.761100000000000065e+01,1.000000000000000000e+00,-3.089560000000000084e+00,1.000000000000000000e+00,1.359990000000000032e+00,4.996430000000000315e-02
2.010010400000000000e+07,-9.999000000000000000e+03,-9.999000000000000000e+03,4.291879999999999917e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.815640000000000143e+00,-6.310210000000000541e-01,1.000000000000000000e+00,2.758599999999999852e+01,1.000000000000000000e+00,-2.815350000000000019e+00,1.000000000000000000e+00,1.638249999999999984e+00,4.698390000000000205e-02
2.010010500000000000e+07,2.727189999999999870e+01,1.000000000000000000e+00,4.197070000000000078e+00,-3.309620000000000317e+01,1.000000000000000000e+00,5.033339999999999925e+00,-5.542080000000000339e-01,1.000000000000000000e+00,2.937500000000000000e+01,1.000000000000000000e+00,-2.423729999999999940e+00,1.000000000000000000e+00,1.202900000000000080e+00,4.278429999999999733e-02
2.010010600000000000e+07,1.224849999999999994e+01,8.541670000000000096e-01,3.050199999999999800e+00,4.905780000000000141e-01,8.958329999999999904e-01,4.883810000000000429e+00,-6.920830000000000037e-01,1.000000000000000000e+00,3.380899999999999750e+01,1.000000000000000000e+00,-2.339929999999999843e+00,9.583329999999999904e-01,6.171419999999999684e-01,3.395440000000000264e-02
2.010010700000000000e+07,7.934720000000000439e+00,5.000000000000000000e-01,2.957209999999999894e+00,3.010600000000000165e+00,8.125000000000000000e-01,4.440369999999999706e+00,-1.014629999999999921e+00,1.000000000000000000e+00,3.213799999999999812e+01,1.000000000000000000e+00,-2.056029999999999802e+00,4.583329999999999904e-01,6.323760000000000492e-01,3.395850000000000257e-02
2.010010800000000000e+07,4.798790000000000333e+00,9.375000000000000000e-01,2.943280000000000118e+00,-6.897680000000000256e+00,1.000000000000000000e+00,4.686300000000000132e+00,-1.402749999999999941e+00,1.000000000000000000e+00,3.163800000000000168e+01,1.000000000000000000e+00,-2.136429999999999829e+00,4.791670000000000096e-01,6.432369999999999477e-01,3.423930000000000029e-02
2.010010900000000000e+07,7.618229999999999613e+00,1.000000000000000000e+00,4.004540000000000433e+00,-2.510870000000000046e-01,1.000000000000000000e+00,4.942239999999999966e+00,-1.149580000000000046e+00,1.000000000000000000e+00,3.188299999999999912e+01,1.000000000000000000e+00,-2.673630000000000173e+00,9.791670000000000096e-01,1.718650000000000011e+00,5.126239999999999963e-02
2.010011000000000000e+07,1.305840000000000067e+01,1.000000000000000000e+00,3.667959999999999887e+00,-1.712700000000000056e-01,1.000000000000000000e+00,5.035730000000000040e+00,-1.169040000000000079e+00,1.000000000000000000e+00,3.191700000000000159e+01,1.000000000000000000e+00,-2.635600000000000165e+00,7.708329999999999904e-01,1.884530000000000038e+00,5.262209999999999804e-02
